osm_id,parent_id,jurisd_base_id,jurisd_local_id,name,name_en,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,phone_prefix,info
1303962,120027,170,44724,Amazonas,Amazonas Department,CO,AMA,44724,ama,CO-AMA,,
1315120,120027,170,123304,Antioquia,Antioquia Department,CO,ANT,123304,ant,CO-ANT,,
1388045,120027,170,230223,Arauca,Arauca Department,CO,ARA,230223,ara,CO-ARA,,
1315209,120027,170,230882,Atlántico,Atlántico Department,CO,ATL,230882,atl,CO-ATL,,
1316581,120027,170,230597,Bolívar,Bolívar Department,CO,BOL,230597,bol,CO-BOL,,
1390144,120027,170,121233,Boyacá,Boyacá Department,CO,BOY,121233,boy,CO-BOY,,
396705,120027,170,230607,Caldas,Caldas Department,CO,CAL,230607,cal,CO-CAL,,
1394843,120027,170,13985,Caquetá,Caquetá Department,CO,CAQ,13985,caq,CO-CAQ,,
1392025,120027,170,13984,Casanare,Casanare Department,CO,CAS,13984,cas,CO-CAS,,
1392085,120027,170,230602,Cauca,Cauca Department,CO,CAU,230602,cau,CO-CAU,,
1317223,120027,170,234916,Cesar,Cesar Department,CO,CES,234916,ces,CO-CES,,
1322131,120027,170,230584,Chocó,Chocó Department,CO,CHO,230584,cho,CO-CHO,,
1321032,120027,170,234912,Córdoba,Córdoba Department,CO,COR,234912,cor,CO-COR,,
1305533,120027,170,232564,Cundinamarca,Cundinamarca Department,CO,CUN,232564,cun,CO-CUN,,
7426387,120027,170,2841,Bogotá,Bogotá,CO,DC,2841,dc,CO-DC,1,
1385038,120027,170,238645,Guainía,Guainía Department,CO,GUA,238645,gua,CO-GUA,,
1380540,120027,170,272885,Guaviare,Guaviare Department,CO,GUV,272885,guv,CO-GUV,,
1396291,120027,170,234920,Huila,Huila Department,CO,HUI,234920,hui,CO-HUI,,
1321379,120027,170,272747,La Guajira,La Guajira Department,CO,LAG,272747,lag,CO-LAG,,
1319097,120027,170,199910,Magdalena,Magdalena Department,CO,MAG,199910,mag,CO-MAG,,
1305166,120027,170,238629,Meta,Meta,CO,MET,238629,met,CO-MET,,
1380130,120027,170,230217,Nariño,Nariño Department,CO,NAR,230217,nar,CO-NAR,,
1324192,120027,170,233058,Norte de Santander,Norte de Santander Department,CO,NSA,233058,nsa,CO-NSA,,
1375357,120027,170,232953,Putumayo,Putumayo Department,CO,PUT,232953,put,CO-PUT,,
1331230,120027,170,13995,Quindío,Quindío Department,CO,QUI,13995,qui,CO-QUI,,
1374221,120027,170,13993,Risaralda,Risaralda Department,CO,RIS,13993,ris,CO-RIS,,
1372374,120027,170,235166,Santander,Santander Department,CO,SAN,235166,san,CO-SAN,,
2181889,120027,170,26855,"Archipiélago de San Andrés, Providencia y Santa Catalina","Archipelago of Saint Andréws, Providence and Saint Catalina",CO,SAP,26855,sap,CO-SAP,,
1320759,120027,170,235188,Sucre,Sucre Department,CO,SUC,235188,suc,CO-SUC,,
1309495,120027,170,234501,Tolima,Tolima Department,CO,TOL,234501,tol,CO-TOL,,
1322825,120027,170,13990,Valle del Cauca,Valle del Cauca Department,CO,VAC,13990,vac,CO-VAC,,
1359366,120027,170,234505,Vaupés,Vaupés Department,CO,VAU,234505,vau,CO-VAU,,
1357098,120027,170,268729,Vichada,Vichada Department,CO,VID,268729,vid,CO-VID,,
